ID	комнат\тип	цена	район	ориентир	улица	этаж	этажность	общая площадь	жилая площадь	площадь кухни	схема	материал	с\у	балкон	состояние	телефон 1	комментарий
393783	3и	16	Богодуховский район	Богодухов	Центральная	2	2	60	45	8	разд	кир.	совм.	Балк. НЕТ	жилое	095-191-61-59	095-191-61-59
393823	2и	26	Сосновая Горка	Сосновая горка	Мирная ул.	6	12	78	44	20	разд	кир.	разд.	2 бал.заст.	строительный	099-445-48-02	
393894	2и	8,5	Богодуховский район	Богодухов	Героев Чернобыля	1	1	62	29	10	смеж	кир.	двор	Балк. НЕТ	жилое	050-746-11-93	
393895	2и	9	Богодуховский район	Максимовка	Молодежная	2	2	44	27	6	разд	кир.	совм.	Балк. НЕТ	строительный	050-746-11-93	
393994	1и	10	Богодуховский район	Богодухов	Катукова	4	5	32	11	11	разд	кир.	совм.	Балк. НЕТ	жилое	050-746-11-93	
393995	3и	10,5	Богодуховский район	Богодухов	8-го Мехкорпуса	1	2	46	32	6	2+1	кир.	совм.	Балк. НЕТ	жилое	050-746-11-93	
394066	4п	30	Центр	Сафари спорт	Фейербаха пл.	3	3	78	60	10	2+1+1	кир.	разд.	Балк. НЕТ	жилое	050-364-00-35	
394074	2и	2,6	Богодуховский район	Кленовое	Конопельца	1	1	61	29	8	разд	кир.	двор	Балк. НЕТ	без ремонта	050-746-11-93	
394075	2и	3,6	Богодуховский район	Кленовое	Конопельца	1	1	63	28	7	разд	кир.	двор	Балк. НЕТ	жилое	050-746-11-93	
394225	3н	81	Сосновая Горка	метро Научная	Клочковская ул.	10	17	65	40	12	2+1	монол	совм.	1 балк.заст.	евроремонт	099-045-75-25	
394237	1и	8,5	Богодуховский район	Богодухов	Космическая	2	5	29	19	5	разд	кир.	совм.	1 балкон	жилое	050-746-11-93	
394238	3и	9,9	Богодуховский район	Богодухов	Железнодорожная	1	1	76	33	17	разд	кир.	нет	Балк. НЕТ	жилое	050-746-11-93	
394239	3и	23	Богодуховский район	Богодухов	Оверченко	2	2	69	47	8	разд	кир.	совм.	Балк. НЕТ	капитальный	050-746-11-93	
394247	5и	155	Центр	метро Исторический музей	Пушкинская ул.	3	6	140	9	15	разд	кир.	2 сов.	1 балкон	евроремонт	093-761-69-47	
394264	8и	340	Нагорный район	площадь Поэзии	Садовая ул.	2	2	240	160	15	разд	кир.	совм.	Балк. НЕТ	капитальный	067-918-50-55	
394288	2и	10	Богодуховский район	Богодухов	Космическая	5	5	50	30	14	разд	пан.	разд.	1 балкон	жилое	050-746-11-93	
394296	1г	15,999	Нагорный район	метро Университет	Мироносицкая ул.	2	5	22	15	5	разд	кир.	разд.	1 балкон	капитальный	067-890-52-57	
394307	1и	9	Богодуховский район	Богодухов	Демьяновская	2	2	26	12	7	разд	кир.	совм.	1 балкон	жилое	050-746-11-93	
394308	3и	20	Богодуховский район	Богодухов	Поповича	2	2	50	37	6	2+1	кир.	совм.	1 балк.заст.	евроремонт	050-746-11-93	
394359	3и	10	Богодуховский район	Лозовая	Агрошкильна	2	2	89	40	11	разд	кир.	разд.	1 балк.заст.	жилое	050-746-11-93	
394365	2н	26	Сосновая Горка	Сосновая горка	Мирная ул.	6	12	78	44	20	разд	кир.	разд.	2 бал.заст.	строительный	099-445-48-02	
394370	4и	16	Богодуховский район	Гуты	Первухинская	1	1	136	59	17	разд	кир.	разд.	Балк. НЕТ	евроремонт	050-746-11-93	
394401	2и	9,85	Богодуховский район	Богодухов	Кривоносова	1	3	40	33	6	разд	кир.	совм.	Балк. НЕТ	косметика	068-600-89-17	
394425	3и	10	Богодуховский район	Богодухов	Космическая	4	5	52	37	6	смеж	кир.	совм.	1 балкон	капитальный	050-746-11-93	
394426	4и	17	Богодуховский район	Богодухов	Космическая	5	5	86	54	11	разд	кир.	2 раз.	1 балкон	жилое	050-746-11-93	
394427	4и	110	ХТЗ	м. Тракторный завод	Бекетова ул.	2	5	96	68	16	разд	кир.	совм.	1 балк.заст.	евроремонт	096-332-94-40	
394441	3и	16,5	Богодуховский район	Богодухов	Грайворонская	1	2	60	45	7	2+1	кир.	совм.	Балк. НЕТ	жилое	068-600-89-17	
394469	3и	16	Богодуховский район	Богодухов	Центральная	2	2	60	45	8	разд	кир.	совм.	Балк. НЕТ	жилое	095-191-61-59	
394470	1и	5	Богодуховский район	Богодухов	Катукова	1	5	31	15	9	разд	пан.	разд.	Балк. НЕТ	жилое	095-191-61-59	
394471	3и	21	Богодуховский район	Богодухов	Покровская	1	1	80	50	12	смеж	кир.	разд.	Балк. НЕТ	жилое	095-191-61-59	
394472	1и	9	Богодуховский район	Богодухов	Троицкая	1	1	48	15	9	смеж	кир.	совм.	Балк. НЕТ	жилое	095-191-61-59	
392360	2и	30,1	Павлово Поле	метро 23 августа	Науки просп.	1	5	44	28	6	смеж	блоч.	совм.	Балк. НЕТ	жилое	095-648-00-67	
392724	2и	3,35	Чугуевский район	Ивановка	Центральная	1	2	48	25	9	разд	кир.	разд.	1 балк.заст.	жилое	097-511-85-76	
392776	3и	40	Павлово Поле	метро Ботанический сад	Балакирева ул.	3	9	76	49	7	разд	кир.	разд.	1 балк.заст.	жилое	095-648-00-67	
393047	1и	8,9	Холодная Гора	ЮЖД	Гиевская ул.	2	2	28	19	8	разд	кир.	совм.	Балк. НЕТ	жилое	096-863-72-26	
393048	3и	33,5	Салтовка 522м/р	Караван	Героев Труда ул.	1	9	66	45	7	разд	пан.	совм.	2 бал.заст.	жилое	096-863-72-26	
393123	3и	17	Харьковский район	Безлюдовка	Мостострой	1	2	51	34	5	2+1	кир.	совм.	Балк. НЕТ	жилое	097-511-85-76	
393284	1и	23	Харьковский район	Песочин	Набережная	8	9	32	17	6	разд	блоч.	разд.	1 балк.заст.	капитальный	050-263-81-52	
393355	3и	39	Салтовка 606м/р	606 мкр супермаркет Класс Валентиновская ул.	3	9	65	45	7	разд	пан.	совм.	2 бал.заст.	капитальный	050-555-95-14
393362	3и	24,5	Рогань	супкрмаркет Класс	Грицевца Сергея ул.	9	9	70	42	9	разд	пан.	разд.	1 балк.заст.	жилое	095-648-00-67	
393622	3и	35,5	Новые Дома	метро Дворец спорта	Героев Сталинграда просп.	5	5	64	44	7	разд	пан.	совм.	1 балк.заст.	евроремонт	095-648-00-67	
393637	2и	19	ХТЗ	м.Индустриальная	12 Апреля ул.	5	5	42	26	6	разд	пан.	совм.	1 балк.заст.	жилое	096-332-94-40	
393739	1г	11,7	м. пл. Восстания	Атлант магазин стройматериалов	Московский просп.	1	3	17	13	1	разд	кир.	совм.	Балк. НЕТ	капитальный	050-364-00-35	
393740	3и	36,5	Салтовка 520м/р	м.Студенческая	Владислава Зубенко ул.	4	12	66	44	7	разд	пан.	разд.	2 балкона	жилое	050-364-00-35	
393742	3и	26,5	Салтовка 626м/р	мед комплекс	Краснодарская ул.	4	12	65	46	7	разд	пан.	разд.	2 бал.заст.	без ремонта	096-579-64-03	
393747	3и	45	Салтовка 607м/р	ресторан Гершир	Гвардейцев Широнинцев ул.	3	10	68	40	8	разд	кир.	разд.	1 балкон	жилое	099-465-38-20	
393751	1г	20,5	Центральный рынок	ЖК Карамель	Резниковский пер.	8	9	35	18	12	разд	кир.	совм.	Балк. НЕТ	строительный	099-465-38-20	
393754	1г	27	Центральный рынок	ЖК Карамель	Резниковский пер.	8	9	44	22	17	разд	кир.	совм.	Балк. НЕТ	строительный	099-465-38-20	
393757	2и	24	Новый цирк	Газовое хозяйство	Москалевская ул.	3	5	47	30	7	смеж	кир.	совм.	1 балк.заст.	жилое	098-445-06-81	
393759	1г	8,6	Салтовка 535м/р	Посад	Владислава Зубенко ул.	9	9	30	20	3	разд	кир.	общий	1 балкон	без ремонта	099-194-85-70	
393761	3н	60	1 Северная Салтовка	ЖК Родниковая 9а	Родниковая ул.	5	15	120	55	20	разд	кир.	разд.	1 балкон	строительный	099-194-85-70	
393779	2и	29,9	Новый цирк	ЦНАП	Гимназическая набережная	6	9	42	26	6	разд	кир.	разд.	1 балк.заст.	жилое	096-070-96-56	
393780	2и	29,9	Гагарина	м. Гагарина	Гимназическая набережная	6	9	42	26	6	разд	кир.	разд.	1 балк.заст.	жилое	096-070-96-56	
393781	2и	27	Салтовка 626м/р	медкомплнекс	Сонячна	9	16	51	28	9	разд	пан.	разд.	1 балк.заст.	средний	050-578-50-16	
393788	3и	37,7	Алексеевка	метро Алексеевская	Ахсарова ул.	2	9	64	45	7	разд	пан.	разд.	2 бал.заст.	жилое	099-495-55-79	
393792	1г	16,5	м. пл. Восстания	ЖК Парковый квартал	Московский просп.	4	7	25	18	5	разд	кир.	совм.	Балк. НЕТ	евроремонт	068-089-98-52	
393807	2г	18	Салтовка 616м/р	метро Ак. Павлова	Гвардейцев Широнинцев ул.	3	9	46	30	3	разд	кир.	общий	Балк. НЕТ	жилое	095-580-07-00	
393808	1п	16	Нагорный район	метро Пушкинская	Максимилиановская ул.	3	4	27	19	3	разд	кир.	разд.	1 балкон	жилое	095-580-07-00	
393810	1н	27	Новые Дома	ЖК Ньютона	Ньютона ул.	1	9	38	17	10	разд	кир.	совм.	1 балк.заст.	евроремонт	093-950-79-79	
393811	2и	77	Салтовка 531м/р	метро Героев Труда.	Тракторостроителей просп.	3	14	65	23	20	разд	кир.	2 сов.	1 балк.заст.	евроремонт	063-345-54-59	
393814	2и	76,9	Салтовка 531м/р	Владимирский храм.	Тракторостроителей просп.	3	14	67	23	20	разд	кир.	2 сов.	1 балк.заст.	евроремонт	063-345-54-59	
393834	1и	28	Павлово Поле	круг троллейбуса на Клочковской	Клочковская ул.	8	10	36	20	6	разд	кир.	совм.	1 балкон	косметика	095-391-06-19	
393838	1г	12,5	Салтовка 606А м/р	Поссад	Владислава Зубенко ул.	2	5	17	15	1	разд	кир.	совм.	Балк. НЕТ	косметика	050-967-35-58	
393839	3и	35,5	Новые Дома	метро Дворец спорта	Героев Сталинграда просп.	5	5	64	45	7	разд	монол	совм.	1 балк.заст.	евроремонт	095-648-00-67	
393840	3и	24,5	Рогань	ТЦ  Класс 	Грицевца Сергея ул.	9	9	71	46	8	разд	пан.	разд.	1 балк.заст.	косметика	095-648-00-67
